# Somatic Chemical synapses and gap junctions in the C. elegans
# From the synapses list dataset used by Cook et al.
AVAL,DA07,chemical
VB10,VD11,chemical
VB10,DD06,chemical
AVAL,AVAR,chemical
AVAL,DA07,chemical
DVB,AVL,chemical
VD11,VA11,chemical
VC06,DD06,chemical
VC06,VD11,chemical
VB10,VD11,chemical
VA11,VD11,chemical
PVCR,VB11,chemical
PVCR,DA07,chemical
VB10,VA11,chemical
PHBR,AVAL,chemical
PHBR,PVCL,chemical
PDEL,DVA,chemical
PDEL,PVR,chemical
AVBL,VA10,chemical
AVDR,DA08,chemical
AVDR,AVAL,chemical
AVAR,PVCR,chemical
AVAR,LUAR,chemical
PVNR,PQR,chemical
PVNR,AVBR,chemical
AVAR,DA07,chemical
AVAR,AVAL,chemical
VB10,VD11,chemical
AVAR,DA07,chemical
VB10,DD06,chemical
VB10,DD06,chemical
VA11,DD06,chemical
VA11,DD06,chemical
PVWR,VA12,chemical
PVWR,AVAR,chemical
PVCL,PDEL,chemical
PVCL,VB11,chemical
PHAR,PHBR,chemical
PHAR,PHAL,chemical
PVNL,LUAL,chemical
PVNL,PVNR,chemical
PVNL,PVWL,chemical
DVB,PVPL,chemical
PHBR,AVAL,chemical
PHBR,PVCL,chemical
PVNL,PVNR,chemical
PVNL,PVWL,chemical
LUAL,AVAL,chemical
LUAL,AVDL,chemical
PVNL,LUAL,chemical
PVNL,PVNR,chemical
PVNL,PVWL,chemical
DVB,PVPL,chemical
PHBR,AVAL,chemical
PHBR,PVCL,chemical
PHAL,AVHL,chemical
PHAL,DA08,chemical
PHAL,AVFL,chemical
PHAL,AVHL,chemical
PHAL,DA08,chemical
PHBL,PHBR,chemical
PHBL,AVAR,chemical
PHAR,PHBR,chemical
PHAR,PHAL,chemical
DVB,DA08,chemical
DVB,DD06,chemical
PHBL,AVAL,chemical
PHBL,PVCL,chemical
PHBR,VA12,chemical
PHBR,AVAR,chemical
DVB,AVL,chemical
LUAR,AVDR,chemical
LUAR,AVAR,chemical
PHAL,PHBL,chemical
PHAL,AVFL,chemical
PHAR,PHAL,chemical
PHAR,PVQL,chemical
PHBR,AVAL,chemical
PHBR,PVCL,chemical
PHAL,PHBL,chemical
PHAL,AVFL,chemical
PHBR,AVAL,chemical
PHBR,PVCL,chemical
PHBL,VA12,chemical
PHBL,PVCL,chemical
PHBR,PVCR,chemical
PHBR,AVAR,chemical
AVDR,AVDL,chemical
AVDR,AVAL,chemical
LUAL,AVAL,chemical
LUAL,AVDL,chemical
PHBR,PVCR,chemical
PHBR,AVAR,chemical
DVB,PVPL,chemical
DVB,DVC,chemical
DVB,VD13,chemical
DVB,PVPL,chemical
DVB,DVC,chemical
DVB,DD06,chemical
DVB,AVL,chemical
PVQL,AVHR,chemical
PVQL,DA08,chemical
PVQL,DD06,chemical
AVAR,PVCR,chemical
AVAR,LUAR,chemical
LUAL,AVAR,chemical
LUAL,AVDL,chemical
DVB,DD06,chemical
DVB,AVL,chemical
PHAR,PHAL,chemical
PHAR,PVQL,chemical
PHAR,PVQR,chemical
PHAR,PHAL,chemical
PHAR,PVQL,chemical
AVAL,LUAL,chemical
AVAL,PVCL,chemical
AVAL,VA11,chemical
AVAL,VA12,chemical
AVDL,AVAL,chemical
AVDL,VA12,chemical
PHBL,AVDR,chemical
PHBL,VA12,chemical
PHBL,AVAL,chemical
PQR,AVDL,chemical
PQR,AVAR,chemical
PQR,AVDL,chemical
PHAL,PHBR,chemical
PHAL,AVDR,chemical
PHAL,PHAR,chemical
PHAL,PHBR,chemical
PHAL,AVDR,chemical
PHAL,PHBL,chemical
PHAR,AVDR,chemical
PHAR,PHAL,chemical
AVDR,LUAL,chemical
AVDR,AVAL,chemical
PHAR,AVDR,chemical
PHAR,PHAL,chemical
PHAL,PHBR,chemical
PHAL,PHBL,chemical
DA09,DVA,chemical
PHBL,AVAL,chemical
PHBL,PVCL,chemical
PHAL,PHAR,chemical
PHAL,PHBR,chemical
LUAR,AVDR,chemical
LUAR,AVAR,chemical
LUAR,AVDL,chemical
LUAR,AVDR,chemical
LUAR,AVAR,chemical
PHAR,PHBL,chemical
LUAL,AVAL,chemical
LUAL,AVDR,chemical
LUAL,AVAR,chemical
LUAL,AVDL,chemical
PHBR,AVAL,chemical
PHBR,PVCL,chemical
LUAL,AVAL,chemical
LUAL,AVDR,chemical
PHBR,AVAR,chemical
PHBR,AVDR,chemical
PHBR,AVAR,chemical
PHBR,AVDR,chemical
PHBR,AVAL,chemical
PHBR,AVDR,chemical
PHBR,AVAL,chemical
PHAL,PHAR,chemical
PHAL,PHBL,chemical
PVNL,PVT,chemical
PVNL,AVDL,chemical
PVNL,PVT,chemical
PVNL,PVWR,chemical
AVG,PHAL,chemical
AVG,PVQR,chemical
PHBL,AVAR,chemical
PHBL,PHBR,chemical
PHBL,AVAR,chemical
AVDR,AVAL,chemical
AVDR,VA11,chemical
PHAR,PHBR,chemical
PHAR,PHBL,chemical
PQR,AVDR,chemical
PQR,AVAR,chemical
LUAR,PVNL,chemical
LUAR,PVWR,chemical
PVCR,LUAR,chemical
