# Chemical synapses and Gap junctions in the C elegans
# From the synapses list dataset used by Cook et al
PDER,DVA,chemical
AVBR,AVDL,chemical
AVBR,AVAL,chemical
LUAL,AVAL,chemical
LUAL,AVAR,chemical
PQR,AVAR,chemical
PQR,AVAL,chemical
VB10,VA11,chemical
VB10,vBWML20,chemical
VA11,VD11,chemical
VA11,vBWMR20,chemical
PVNL,AVAL,chemical
PVNL,AVBR,chemical
VC06,VD11,chemical
VC06,PVNR,chemical
VB10,DD06,chemical
VB10,vBWML20,chemical
PVCR,PDEL,chemical
PVCR,bl15,chemical
VA11,DD06,chemical
VA11,vBWML20,chemical
DVB,DA08,chemical
DVB,muintL,chemical
VD11,AVAR,chemical
VD11,PVT,chemical
AVAR,DA07,chemical
AVAR,DA08,chemical
AVAR,VA10,chemical
AVAR,DA07,chemical
AVAR,DA08,chemical
VA11,vBWML20,chemical
AVAR,PVCL,chemical
AVAR,DA07,chemical
AVAR,DA08,chemical
DVA,hyp,chemical
DVA,PVR,chemical
LUAL,AVAL,chemical
LUAL,AVAR,chemical
AVFL,int8L,chemical
AVFL,DVB,chemical
AVDL,AVAR,chemical
AVDL,DA08,chemical
AVDL,VA10,chemical
VA11,vBWML20,chemical
VD11,AVAR,chemical
AVFR,hyp,chemical
VD11,vBWMR20,chemical
PVCR,VB11,chemical
PVCR,bl15,chemical
VD11,DD06,chemical
VD11,vBWML20,chemical
VB10,vBWMR20,chemical
VA11,vBWMR20,chemical
VC06,DD06,chemical
VC06,VD11,chemical
VD11,vBWML20,chemical
bl11,vBWMR20,chemical
VB10,vBWMR20,chemical
AVAL,DA07,chemical
AVAL,b18,chemical
VB10,VD11,chemical
VB10,DD06,chemical
VB10,vBWML20,chemical
AVAL,AVAR,chemical
AVAL,DA07,chemical
AVAL,b18,chemical
DVB,AVL,chemical
DVB,int8L,chemical
VD11,vBWML20,chemical
VD11,VA11,chemical
VC06,DD06,chemical
VC06,VD11,chemical
VB10,VD11,chemical
VB10,vBWMR20,chemical
VA11,VD11,chemical
VA11,vBWMR20,chemical
PVCR,VB11,chemical
PVCR,bl15,chemical
PVCR,DA07,chemical
VB10,VA11,chemical
VB10,vBWML20,chemical
VD11,vBWML20,chemical
PHBR,AVAL,chemical
PHBR,PVCL,chemical
PDEL,DVA,chemical
PDEL,PVR,chemical
AVBL,VA10,chemical
AVDR,DA08,chemical
AVDR,AVAL,chemical
AVFL,hyp,chemical
AVAR,PVCR,chemical
AVAR,LUAR,chemical
PVNR,PQR,chemical
PVNR,AVBR,chemical
AVAR,DA07,chemical
AVAR,b18,chemical
AVAR,AVAL,chemical
VB10,VD11,chemical
VB10,vBWML22,chemical
AVAR,DA07,chemical
AVAR,b18,chemical
VB10,DD06,chemical
VB10,vBWML19,chemical
VB10,DD06,chemical
VA11,DD06,chemical
VA11,vBWML19,chemical
VA11,DD06,chemical
VA11,vBWML19,chemical
PVWR,VA12,chemical
PVWR,AVAR,chemical
PVCL,bl19,chemical
PVCL,PDEL,chemical
PVCL,VB11,chemical
PHAR,PHBR,chemical
PHAR,PHAL,chemical
PVNL,LUAL,chemical
PVNL,PVNR,chemical
PVNL,PVWL,chemical
PVNL,hyp,chemical
DVB,int8L,chemical
DVB,PVPL,chemical
PHBR,AVAL,chemical
PHBR,PVCL,chemical
PVNL,PVNR,chemical
PVNL,PVWL,chemical
LUAL,AVAL,chemical
LUAL,AVDL,chemical
PVNL,LUAL,chemical
PVNL,PVNR,chemical
PVNL,PVWL,chemical
DVB,int8L,chemical
DVB,PVPL,chemical
PHBR,AVAL,chemical
PHBR,PVCL,chemical
PHAL,AVHL,chemical
PHAL,DA08,chemical
PHAL,AVFL,chemical
PHAL,AVHL,chemical
PHAL,DA08,chemical
PHBL,PHBR,chemical
PHBL,AVAR,chemical
VD13,int8L,chemical
VD13,vBWML19,chemical
PHAR,PHBR,chemical
PHAR,PHAL,chemical
DVB,DA08,chemical
DVB,DD06,chemical
PHBL,AVAL,chemical
PHBL,PVCL,chemical
PHBR,VA12,chemical
PHBR,AVAR,chemical
DVB,int8L,chemical
