source,target,weight
ADAR,AS04,0.005179745602364027
ADAR,AS07,0.0303243423880807
ADAR,AS08,0.02309105705162872
ADAR,AS09,0.022818150650588176
ADAR,ASHR,0.02840642559587654
ADAR,AVAR,0.135356346324774
ADAR,AVBR,0.07291898976757448
ADAR,AVDL,0.04838055469606732
ADAR,AVDR,0.04984050683546289
ADAR,AVJL,0.03647724093310486
ADAR,DA01,0.022543094395427735
ADAR,DA03,0.024437236883198214
ADAR,DA04,0.02861046263974325
ADAR,DA05,0.02578816663691647
ADAR,DA06,0.043515152796238105
ADAR,DA07,0.012771758715681184
ADAR,DA08,0.03291209283171736
ADAR,DB05,0.009839611817726917
ADAR,DB06,0.016118609646452117
ADAR,PLMR,0.002158590693391193
ADAR,PVCL,0.05512240581331017
ADAR,RIMR,0.049020813757149166
ADAR,URYDR,0.009063838520332018
ADAR,VA03,0.018883610059759078
ADAR,VA05,0.01888916467052673
ADAR,VA06,0.019931959110582112
ADAR,VA08,0.04837069456583791
ADAR,VA09,0.02273909554558546
ADAR,VA10,0.016827226546855003
ADAR,VA11,0.03388289586859963
ADAR,VB06,0.005435777763770951
ADAR,VB07,0.005474739928193759
ADAR,VB09,0.021325607369404274
ADAR,VD08,0.003544033578079559
ADAL,ADLL,0.016044462661790642
ADAL,AS04,0.0048893008271327296
ADAL,AS07,0.02881431116689673
ADAL,AS08,0.02046282373671482
ADAL,AS09,0.021472200515409632
ADAL,AVAL,0.1021709129670074
ADAL,AVAR,0.10466587928332219
ADAL,AVBL,0.05641747660782482
ADAL,AVBR,0.08024087426860389
ADAL,AVDR,0.06144803152543316
ADAL,AVJR,0.0471266385758384
ADAL,DA01,0.01999162801867446
ADAL,DA03,0.0227475775464691
ADAL,DA04,0.02594407749269395
ADAL,DA05,0.02360714500760683
ADAL,DA06,0.04013861078246592
ADAL,DA07,0.011883119494474941
ADAL,DA08,0.02915334652017125
ADAL,DB06,0.014708605027754123
ADAL,PVCL,0.048579586758489335
ADAL,RIML,0.03390528566369872
ADAL,VA03,0.016466182922160594
ADAL,VA05,0.01769673976436149
ADAL,VA06,0.018754130721926013
ADAL,VA08,0.043687897461312845
ADAL,VA09,0.021160999473881056
ADAL,VA10,0.01498401961812386
ADAL,VA11,0.029116311689963682
ADAL,VB09,0.020527655100537823
ADAL,VD08,0.003194168799259448
ADFL,ADAL,0.023772171984590102
ADFL,ADLL,0.012425741047798497
ADFL,AFDL,0.035182380723472996
ADFL,AIBR,0.039420673093442125
ADFL,AIZL,0.14844582320107963
ADFL,ASHL,0.014320439183966907
ADFL,AUAL,0.05489357991110384
ADFL,AWBL,0.023124112781678127
ADFL,AWCL,0.012878189046031944
ADFL,AWCR,0.015367580439713388
ADFL,DA06,0.016246835386449585
ADFL,RIAL,0.20031282686427065
ADFL,RIBL,0.029571750914097777
ADFL,RIR,0.03005822335703358
ADFL,RIVL,0.017650837455971295
ADFL,RMDDL,0.03359786186364058
ADFL,RMDVL,0.031159013023080866
ADFL,RMDVR,0.03444214472014402
ADFL,SMBDL,0.02736138754480168
ADFL,SMBVL,0.03453993063110354
ADFL,SMDDL,0.028541117804419838
ADFL,SMDDR,0.03236165024186164
ADFL,SMDVL,0.040058743259353984
ADFL,SMDVR,0.0321338607168153
ADFL,URBL,0.012422226235522258
ADFL,URXL,0.019710898568555797
ASHL,ADAL,0.02112639992502183
ASHL,ADFL,0.034886465712123706
ASHL,ADLL,0.026936711231503707
ASHL,AIAL,0.07151137828198721
ASHL,AIBL,0.060355484536107326
ASHL,AIZL,0.03559380102962786
ASHL,AS07,0.026303066584638244
ASHL,AS08,0.019203592105455913
ASHL,AS09,0.020684286806103777
ASHL,ASKL,0.06915148466883025
ASHL,AVBL,0.07368634359234755
ASHL,AVDL,0.03874177635848434
ASHL,AVDR,0.06343992081096396
ASHL,DA03,0.02121337406595986
ASHL,DA04,0.024614133437177988
ASHL,DA05,0.02208030527303648
ASHL,DA06,0.038071449935394304
ASHL,DA08,0.027881714736243905
ASHL,DB06,0.013702350869280674
ASHL,HSNL,0.018892478187999523
ASHL,RIAL,0.05186545131498685
ASHL,RICL,0.01698246530332143
ASHL,RIR,0.029903324155230535
ASHL,URXL,0.020512273461406806
ASHL,VA05,0.017074672760293192
ASHL,VA06,0.017935830346657376
ASHL,VA08,0.040518616957714845
ASHL,VA09,0.018825266082374236
ASHL,VA10,0.014586215540202513
ASHL,VA11,0.027242305219301908
ASHL,VB09,0.016477060710221775
AVDR,AS01,0.009338239482757677
AVDR,AS02,0.005539389369495083
AVDR,AS03,0.0071589168497554504
AVDR,AS05,0.010044836294107008
