source,target,weight
ADLR,CEPVR,0.014706
ADLR,RIFR,0.014706
ADLR,URXR,0.088235
ADLR,AVJL,0.014706
ADLR,AVJR,0.029412
ADLR,SIBVL,0.014706
ADLR,OLLR,0.014706
ADLR,SMBVR,0.029412
ADLR,OLQVR,0.014706
ADLR,RIPR,0.029412
AFDL,ADFL,0.071429
AFDL,AWBL,0.107143
AFDL,ASEL,0.178571
AFDL,AFDR,0.035714
AFDL,AIBL,0.071429
AFDL,AINR,0.035714
AFDL,ASER,0.035714
AFDL,AIYL,0.285714
AFDL,AVEL,0.035714
AFDL,URBL,0.142857
AFDR,ADFR,0.074074
AFDR,ASHR,0.074074
AFDR,URBR,0.037037
AFDR,AIYR,0.481481
AFDR,ASEL,0.074074
AFDR,AFDL,0.074074
AFDR,ASER,0.074074
AFDR,AIBR,0.037037
AFDR,AWCR,0.037037
AFDR,RMDVR,0.037037
AIAL,ADAL,0.021739
AIAL,ADFL,0.021739
AIAL,ASHL,0.021739
AIAL,PVQL,0.021739
AIAL,AWAL,0.021739
AIAL,RMGL,0.021739
AIAL,AIAR,0.021739
AIAL,AWBL,0.021739
AIAL,ASEL,0.021739
AIAL,ADLL,0.021739
AIAL,AIBL,0.26087
AIAL,ASER,0.065217
AIAL,RIR,0.021739
AIAL,ASIL,0.043478
AIAL,AIML,0.043478
AIAL,AIZL,0.021739
AIAL,ASGL,0.021739
AIAL,ASIR,0.021739
AIAL,ASKL,0.108696
AIAL,AWCL,0.021739
AIAL,HSNL,0.021739
AIAL,AWCR,0.043478
AIAL,RIFL,0.021739
AIAL,ASJL,0.065217
AIAR,ADAR,0.025
AIAR,AIAL,0.025
AIAR,ADFR,0.025
AIAR,ASHR,0.025
AIAR,AWAR,0.05
AIAR,ADLR,0.05
AIAR,ASER,0.025
AIAR,AIBR,0.35
AIAR,ASIR,0.075
AIAR,AWCL,0.025
AIAR,AIZR,0.025
AIAR,ASGR,0.1
AIAR,ASKR,0.05
AIAR,AWCR,0.1
AIAR,RIFR,0.05
AIBL,ASHL,0.013158
AIBL,AIAL,0.026316
AIBL,ASHR,0.013158
AIBL,RIMR,0.184211
AIBL,FLPL,0.026316
AIBL,SDQR,0.013158
AIBL,AFDL,0.013158
AIBL,ASER,0.013158
AIBL,ASKL,0.013158
AIBL,AIZR,0.065789
AIBL,DVC,0.013158
AIBL,PVT,0.013158
AIBL,RIGR,0.052632
AIBL,RIVL,0.013158
AIBL,RIBR,0.052632
AIBL,SAADL,0.026316
AIBL,SAAVL,0.013158
AIBL,RIML,0.026316
AIBL,RIS,0.013158
AIBL,SAADR,0.026316
AIBL,AIYL,0.013158
AIBL,RIFL,0.013158
AIBL,AVBL,0.065789
AIBL,AVAL,0.026316
AIBL,AVEL,0.013158
AIBL,SAAVR,0.013158
AIBL,RMFR,0.052632
AIBL,RMED,0.013158
AIBL,SMDDR,0.065789
AIBL,SMDVR,0.026316
AIBL,SIBVR,0.026316
AIBL,SIADR,0.026316
AIBL,SIAVR,0.013158
AIBR,PVPL,0.014085
AIBR,AIAR,0.014085
AIBR,RICR,0.028169
AIBR,RIMR,0.014085
AIBR,AVAR,0.014085
AIBR,AIYR,0.014085
AIBR,ADLR,0.014085
AIBR,AFDR,0.014085
AIBR,AIZL,0.028169
AIBR,ASKR,0.028169
AIBR,AWCR,0.014085
AIBR,DVC,0.028169
AIBR,PVT,0.014085
AIBR,SAADL,0.014085
AIBR,DB01,0.014085
AIBR,RIGL,0.056338
AIBR,RIML,0.239437
AIBR,RIS,0.014085
AIBR,RIVR,0.014085
AIBR,RIBL,0.056338
AIBR,SAADR,0.028169
AIBR,VB01,0.042254
AIBR,SIBDR,0.014085
AIBR,AUAL,0.014085
AIBR,DVA,0.014085
AIBR,AQR,0.014085
AIBR,AVBR,0.042254
AIBR,AVEL,0.014085
AIBR,SAAVR,0.014085
AIBR,RMFL,0.014085
AIBR,RIAL,0.014085
AIBR,SMDVL,0.014085
AIBR,SMDDL,0.070423
AIBR,SIADL,0.014085
AIBR,SIAVL,0.014085
AIBR,SIBDL,0.014085
AIML,AVDR,0.027027
AIML,PVQL,0.027027
AIML,AIAL,0.135135
AIML,RMGL,0.054054
AIML,AVDL,0.027027
AIML,AVHL,0.054054
AIML,AVHR,0.027027
AIML,ASGL,0.081081
AIML,ASKL,0.054054
AIML,SIBDR,0.027027
AIML,RID,0.027027
AIML,ALML,0.027027
AIML,RIFL,0.027027
AIML,AVBR,0.054054
AIML,AVER,0.027027
AIML,URXL,0.027027
AIML,ASJL,0.054054
AIML,AVFR,0.027027
AIML,AVJL,0.027027
AIML,AVFL,0.108108
AIML,CEPDL,0.054054
AIML,SMBVL,0.027027
AIMR,AVDR,0.02439
AIMR,ADFR,0.02439
AIMR,AIAR,0.121951
AIMR,RMGR,0.04878
AIMR,AVKR,0.02439
AIMR,ALA,0.02439
AIMR,AVAR,0.02439
AIMR,BDUR,0.02439
AIMR,AVHR,0.02439
AIMR,HSNL,0.02439
AIMR,ASGR,0.04878
AIMR,ASKR,0.073171
AIMR,HSNR,0.04878
AIMR,CEPVR,0.04878
AIMR,RIFR,0.02439
AIMR,ASJR,0.073171
AIMR,AVFR,0.04878
AIMR,URXR,0.097561
AIMR,AVJR,0.02439
AIMR,PVNR,0.02439
AIMR,AVFL,0.04878
