# Gap junctions in the C. elegans
# These data include extrapolated connections from the dataset used by Cook et al.
I1L,I2L,2,EJ
I1L,M3L,2,EJ
I1L,MCR,1,EJ
I1L,NSML,3,EJ
I1L,pm4VL,1,EJ
I1L,RIPL,2,EJ
I1R,I2R,1,EJ
I1R,I3,1,EJ
I1R,MCR,4,EJ
I1R,NSMR,2,EJ
I1R,pm3VR,3,EJ
I1R,pm4VR,2,EJ
I1R,RIPR,2,EJ
I2L,I1L,2,EJ
I2L,I4,1,EJ
I2L,M2L,1,EJ
I2L,e3VL,2,EJ
I2R,I1R,1,EJ
I2R,M1,1,EJ
I2R,M2R,1,EJ
I2R,MCR,1,EJ
I2R,NSMR,2,EJ
I2R,e3VR,1,EJ
I3,I1R,1,EJ
I3,M1,1,EJ
I3,M2R,1,EJ
I3,MI,1,EJ
I3,pm4D,3,EJ
I3,pm5D,1,EJ
I4,I2L,1,EJ
I4,M2R,2,EJ
I4,M4,1,EJ
I4,pm5VL,1,EJ
I5,M2L,1,EJ
I5,M2R,1,EJ
I5,M5,1,EJ
I5,g1AL,4,EJ
I5,g1AR,2,EJ
I6,M4,5,EJ
M1,I2R,1,EJ
M1,I3,1,EJ
M1,pm5D,3,EJ
M2L,I2L,1,EJ
M2L,I5,1,EJ
M2L,M4,1,EJ
M2L,MCL,1,EJ
M2L,pm4VL,1,EJ
M2L,pm5VL,1,EJ
M2L,g1AL,2,EJ
M2R,I2R,1,EJ
M2R,I3,1,EJ
M2R,I4,2,EJ
M2R,I5,1,EJ
M2R,M3R,1,EJ
M2R,MCR,11,EJ
M2R,MI,5,EJ
M2R,pm5D,1,EJ
M2R,g1AR,2,EJ
M3L,I1L,2,EJ
M3L,NSMR,1,EJ
M3L,pm4D,2,EJ
M3L,pm5D,1,EJ
M3L,pm5VL,1,EJ
M3L,g1AL,2,EJ
M3R,M2R,1,EJ
M3R,NSMR,2,EJ
M3R,pm4VR,1,EJ
M3R,pm5D,1,EJ
M3R,pm5VR,1,EJ
M3R,g1AR,5,EJ
M4,I4,1,EJ
M4,I6,5,EJ
M4,M2L,1,EJ
M4,M4,1,EJ
M4,M5,2,EJ
M4,pm5D,1,EJ
M4,pm5VL,1,EJ
M4,pm5VR,1,EJ
M4,g1AL,7,EJ
M4,g1AR,2,EJ
M5,I5,1,EJ
M5,M4,2,EJ
M5,M5,1,EJ
M5,pm5VL,2,EJ
M5,pm6VL,2,EJ
M5,pm6VR,2,EJ
MCL,M2L,1,EJ
MCR,I1L,1,EJ
MCR,I1R,4,EJ
MCR,I2R,1,EJ
MCR,M2R,11,EJ
MI,I3,1,EJ
MI,M2R,5,EJ
MI,pm4D,3,EJ
NSML,I1L,3,EJ
NSML,NSMR,2,EJ
NSMR,I1R,2,EJ
NSMR,I2R,2,EJ
NSMR,M3L,1,EJ
NSMR,M3R,2,EJ
NSMR,NSML,2,EJ
NSMR,pm5D,2,EJ
pm1,pm2D,2,EJ
pm1,pm2VL,2,EJ
pm1,pm2VR,2,EJ
pm1,e3D,4,EJ
pm2D,pm1,2,EJ
pm2D,pm3D,2,EJ
pm2VL,pm1,2,EJ
pm2VL,pm3VL,2,EJ
pm2VR,pm1,2,EJ
pm2VR,pm3VR,2,EJ
pm3D,pm2D,2,EJ
pm3D,pm4D,2,EJ
pm3D,mc1DL,2,EJ
pm3D,mc1DR,2,EJ
pm3VL,pm2VL,2,EJ
pm3VL,pm4VL,2,EJ
pm3VL,mc1DL,2,EJ
pm3VL,mc1V,2,EJ
pm3VL,e3VL,4,EJ
pm3VR,I1R,3,EJ
pm3VR,pm2VR,2,EJ
pm3VR,pm4VR,2,EJ
pm3VR,mc1V,2,EJ
pm4D,I3,3,EJ
pm4D,M3L,2,EJ
pm4D,MI,3,EJ
pm4D,pm3D,2,EJ
pm4D,pm5D,2,EJ
pm4D,mc1DL,2,EJ
pm4D,mc1DR,2,EJ
pm4VL,I1L,1,EJ
pm4VL,M2L,1,EJ
pm4VL,pm3VL,2,EJ
pm4VL,pm5VL,2,EJ
pm4VL,mc1DL,2,EJ
pm4VL,mc1V,2,EJ
pm4VR,I1R,2,EJ
pm4VR,M3R,1,EJ
pm4VR,pm3VR,2,EJ
pm4VR,pm5VR,2,EJ
pm4VR,mc1DR,4,EJ
pm4VR,mc1V,2,EJ
pm5D,I3,1,EJ
pm5D,M1,3,EJ
pm5D,M2R,1,EJ
pm5D,M3L,1,EJ
pm5D,M3R,1,EJ
pm5D,M4,1,EJ
pm5D,NSMR,2,EJ
pm5D,pm4D,2,EJ
pm5D,pm6D,2,EJ
pm5D,mc2DL,2,EJ
pm5D,mc2DR,2,EJ
