AFDL,53.37,-20.00,6.00
AFDR,53.11,20.00,6.00
AIAL,66.74,-8.00,12.00
AIAR,67.33,8.00,12.00
AIBL,55.49,-8.00,3.00
AIBR,55.94,8.00,3.00
AIYL,71.42,-8.00,-6.00
AIYR,71.42,8.00,-6.00
AIZL,68.92,-8.00,-15.00
AIZR,67.51,8.00,-15.00
ASIL,63.34,-20.00,-6.00
ASIR,63.42,20.00,-6.00
AWCL,55.82,-20.00,0.00
AWCR,56.43,20.00,0.00
RIAL,51.21,-5.00,-24.00
RIAR,51.66,5.00,-24.00
