# Gap junctions in the C. elegans
# From the dataset used by Cook et al.
I1L,I2L,2,EJ
I1L,M3L,1,EJ
I1L,MCR,1,EJ
I1L,pm4VL,1,EJ
I1R,I3,1,EJ
I1R,MCR,3,EJ
I1R,NSMR,1,EJ
I1R,pm3VR,2,EJ
I1R,pm4VR,1,EJ
I2L,I1L,2,EJ
I2L,M2L,1,EJ
I2L,e3VL,2,EJ
I2R,M1,1,EJ
I2R,M2R,1,EJ
I2R,NSMR,2,EJ
I2R,e3VR,1,EJ
I3,I1R,1,EJ
I3,M1,1,EJ
I3,MI,1,EJ
I3,pm4D,1,EJ
I3,pm5D,1,EJ
I4,M2R,2,EJ
I4,M4,1,EJ
I4,pm5VL,1,EJ
I5,M2L,1,EJ
I5,M2R,1,EJ
I5,M5,2,EJ
I5,g1AL,2,EJ
I5,g1AR,2,EJ
I6,M4,2,EJ
M1,I2R,1,EJ
M1,I3,1,EJ
M1,pm5D,2,EJ
M2L,I2L,1,EJ
M2L,I5,1,EJ
M2L,M4,1,EJ
M2L,MCL,1,EJ
M2L,pm4VL,1,EJ
M2L,pm5VL,1,EJ
M2L,g1AL,2,EJ
M2R,I2R,1,EJ
M2R,I4,2,EJ
M2R,I5,1,EJ
M2R,M3R,1,EJ
M2R,MCR,2,EJ
M2R,MI,1,EJ
M2R,g1AR,2,EJ
M3L,I1L,1,EJ
M3L,NSMR,1,EJ
M3L,pm5D,1,EJ
M3L,pm5VL,1,EJ
M3L,g1AL,1,EJ
M3R,M2R,1,EJ
M3R,pm4VR,1,EJ
M3R,pm5D,1,EJ
M3R,pm5VR,1,EJ
M3R,g1AR,2,EJ
M4,I4,1,EJ
M4,I6,2,EJ
M4,M2L,1,EJ
M4,M4,1,EJ
M4,M5,1,EJ
M4,pm5D,1,EJ
M4,pm5VL,1,EJ
M4,pm5VR,1,EJ
M4,g1AL,6,EJ
M4,g1AR,2,EJ
M5,I5,2,EJ
M5,M4,1,EJ
M5,M5,1,EJ
M5,pm6VL,1,EJ
M5,pm6VR,1,EJ
MCL,M2L,1,EJ
MCR,I1L,1,EJ
MCR,I1R,3,EJ
MCR,M2R,2,EJ
MI,I3,1,EJ
MI,M2R,1,EJ
MI,pm4D,2,EJ
NSML,NSMR,1,EJ
NSMR,I1R,1,EJ
NSMR,I2R,2,EJ
NSMR,M3L,1,EJ
NSMR,NSML,1,EJ
NSMR,pm5D,2,EJ
pm1,e3D,2,EJ
pm3VL,e3VL,1,EJ
pm3VR,I1R,2,EJ
pm4D,I3,1,EJ
pm4D,MI,2,EJ
pm4VL,I1L,1,EJ
pm4VL,M2L,1,EJ
pm4VR,I1R,1,EJ
pm4VR,M3R,1,EJ
pm5D,I3,1,EJ
pm5D,M1,2,EJ
pm5D,M3L,1,EJ
pm5D,M3R,1,EJ
pm5D,M4,1,EJ
pm5D,NSMR,2,EJ
pm5VL,I4,1,EJ
pm5VL,M2L,1,EJ
pm5VL,M3L,1,EJ
pm5VL,M4,1,EJ
pm5VR,M3R,1,EJ
pm5VR,M4,1,EJ
pm6VL,M5,1,EJ
pm6VR,M5,1,EJ
e3D,pm1,2,EJ
e3VL,I2L,2,EJ
e3VL,pm3VL,1,EJ
e3VR,I2R,1,EJ
g1AL,I5,2,EJ
g1AL,M2L,2,EJ
g1AL,M3L,1,EJ
g1AL,M4,6,EJ
g1AR,I5,2,EJ
g1AR,M2R,2,EJ
g1AR,M3R,2,EJ
g1AR,M4,2,EJ
ASIL,ASIR,1,EJ
